,bill_length,bill_width,bill_depth,wing,tarsus,mass
Niltava_sundara,8.417,4.345,3.864,80.667,21.6,21.1
Niltava_grandis,10.933,5.325,5.033,104.417,25.2,30.3
Eumyias_thalassinus,6.738,4.522,3.218,83.417,15.85,17.7
Muscicapa_ferruginea,6.09,4.48,2.96,69.2,14.5,12
Muscicapa_sibirica,5.404,3.588,2.513,73.125,11.75,13.2
Muscicapa_dauurica,8.1,5.029,3.529,71.214,14.55,9.8
Copsychus_malabaricus,11.82,4.2,4.95,92.5,26.14,29.35
Copsychus_saularis,13.214,4.6,5.25,100.125,31.75,36
Zoothera_citrina,13.55,5.05,6.25,116,31.75,53.3
Turdus_rubrocanus,16.14,4.92,6.64,136.4,32.2,92.2
Turdus_albocinctus,16.05,4.867,6.65,138.5,35.575,99.4
Turdus_maximus,14.35,5.575,6.7,158,36.475,74.9
Turdus_boulboul,15.67,5.23,6.83,142.2,36.375,97.1
Zoothera_dauma,16.4,5.1,6.45,140.5,33.05,138.5
Zoothera_mollissima,16.1,5.35,6.05,143.75,36.25,98.2
Cochoa_purpurea,10,6,5.7,140,27.8,103
Sitta_leucopsis,12.775,4.2,3.3,79.5,19.15,14.8
Sitta_cinnamoventris,14.025,4.625,4.8,81.75,19.875,19.6
Sitta_himalayensis,10.35,5.175,3.475,73,17.75,14.5
Sitta_frontalis,9.325,3,3.225,74.5,16.05,16.5
Sitta_formosa,13.8,5,5.1,106,21.9,24.724
Troglodytes_troglodytes,8.255,2.235,2.315,50,19.66,9.325
Certhia_himalayana,15.275,2.48,2.575,69,16.5,8.8
Certhia_discolor,10.4,2.45,2.45,70.5,17.55,10.4
Certhia_nipalensis,9.905,2.6,2.55,71,19.7,11.1
Certhia_familiaris,11.73,2.025,2.725,70,17.7,9
Orthotomus_sutorius,9.405,2.73,2.54,46,19.96,7.5
Prinia_socialis,7.975,2.505,2.405,49.4,21,8
Prinia_hodgsonii,7.105,2.39,2.32,48.75,19.985,6.4
Prinia_crinigera,7.685,2.72,3.445,52.25,21.32,13.8
Aegithalos_niveogularis,5.55,2.2,3,60,18.25,7.8
Aegithalos_concinnus,4.9,2.525,3.25,52.5,17.2,6.1
Abroscopus_superciliaris,6.5,2.7,2.7,50.75,17.15,6.5
Cettia_fortipes,5.9,2.167,2.433,54.333,22.5,10.4
Phyllergates_cucullatus,9.517,2.75,2.267,48.333,20.067,5.9
Tesia_castaneocoronata,6.375,2.715,2.275,50.45,22.02,8.8
Cettia_brunnifrons,5.26,1.98,2.025,45.4,18.317,7.5
Tesia_olivea,7.315,3.15,2.72,45.05,21.63,7
Tesia_cyaniventer,7.915,3.805,2.755,49.6,24.67,9.7
Phylloscopus_maculipennis,5.305,2.46,1.92,50.75,17.855,5.1
Phylloscopus_pulcher,6.545,2.56,2.37,59.3,18.965,6.8
Phylloscopus_humei,5.86,2.425,2.13,61,18.595,6
Phylloscopus_chloronotus,5.435,2.555,1.945,54.5,16.585,5.1
Phylloscopus_tytleri,6.76,2.05,2.04,59.75,18.165,7.2
Phylloscopus_affinis,6.775,2.77,2.385,60,19.925,5.9
Phylloscopus_cantator,7.955,3,2.53,52.75,16.335,6
Phylloscopus_occipitalis,8.12,2.91,2.805,66.05,19.29,9
Phylloscopus_reguloides,7.395,3.21,2.615,58.45,17.79,7.8
Phylloscopus_xanthoschistos,7.255,2.8,2.61,56.9,19.155,7.025
Seicercus_castaniceps,5.1,2.35,2.38,28.35,16.3,5.3
Phylloscopus_trochiloides,6.63,2.76,2.465,60.65,19.025,8.1
Phylloscopus_magnirostris,8.1,3.81,3.1,69.65,20.265,11.6
Seicercus_whistleri,7.35,3.145,2.755,58.25,19.075,7.3
Seicercus_affinis,7.38,3.095,2.84,56.5,16.925,7.95
Seicercus_burkii,7.295,3.39,2.635,59.6,19.845,7.3
Seicercus_poliogenys,6.83,3.13,2.57,51.2,17.32,6.3
Grammatoptila_striata,17.3,7.79,10.795,151,46.315,110.5
Cutia_nipalensis,12.15,4.7,6,94.75,34.95,47.5
Turdoides_striata,14.55,5.05,7.225,101.5,37.65,66
Ianthocincla_ocellata,19.55,6.29,7.7,130.5,47.675,114
Garrulax_pectoralis,23.295,7.58,9.305,142.5,49.35,145.5
Garrulax_albogularis,15.755,6.265,7.29,132.25,44.45,98.5
Garrulax_leucolophus,16.795,5.755,7.82,136.5,47.64,123.5
Leiothrix_argentauris,9.367,4.111,5.033,76,25.733,28.4
Leiothrix_lutea,7.78,3.49,8.23,68.6,25.3,21.4
